Target,Type,Submit/Contact URL,Link Target (our page),Date Submitted,Status,Live Link?,Dofollow?,Outcome/Notes
Trading Card Database (TCDb),Directory,tcdb.com/CardShows.cfm,/shows/* + homepage,,Not started,,,Biggest hobby DB; per-state calendar w/ ~no HI shows — own the gap
Card Show Hub,Directory,cardshowhub.com/submit,/shows/*,,Not started,,,Free listing; featured is paid (skip)
Player One Collectibles,Directory,playeronecollectibles.com/events.php,/shows/*,,Not started,,,Free account; accepts worldwide US events
Sports Collectors Digest,Directory,sportscollectorsdigest.com/collecting-101/show-calendar,/calendar/ + homepage,,Not started,,,Legacy authority; submit via show-calendar form/contact
Sports Card Investor,Directory,sportscardinvestor.com/card-shows/,/calendar/ + homepage,,Not started,,,Big audience; find submit form or email show in
StackNSlabs Card Show Finder,Directory,stacknslabs.com/sns-card-show-finder/,/shows/*,,Not started,,,Community card-show finder
Cardshows.com,Directory,cardshows.com,/calendar/,,Not started,,,Dedicated calendar domain
Cardboard Connection,Directory (flagship),cardboardconnection.com major-regional convention guide,/shows/west-side-show,,Not started,,,Flagships only (150+ tables / multi-day w signers)
The Hobby News Daily,Press,thehobbynewsdaily.com/contact,State-of-Hawaii-TCG report,,Not started,,,Angle: Hawaii scene grew faster than mainland
Cardboard Connection (editorial),Press,cardboardconnection.com/about,State-of-Hawaii-TCG report,,Not started,,,Underserved-geography piece
Card Talk Podcast,Podcast,DM @cardtalkpodcast IG,Founder story,,Not started,,,Guest pitch
Sports Card Investor (editorial),Press,sportscardinvestor.com/contact,State-of-Hawaii-TCG report,,Not started,,,Regional trends piece
r/PokemonTCG,Community,reddit.com/r/PokemonTCG,Trip-planner guide,,Not started,,,One useful post; not spam
r/sportscards,Community,reddit.com/r/sportscards,Trip-planner guide,,Not started,,,One useful post; not spam
